Date,Banks,Integration
2012Q1,ARROW FINANCIAL CORP,0.7311773070903747
2012Q2,ARROW FINANCIAL CORP,0.7878191389026717
2012Q3,ARROW FINANCIAL CORP,0.7531195015191637
2012Q4,ARROW FINANCIAL CORP,0.7593638284369634
2013Q1,ARROW FINANCIAL CORP,0.5316956309759933
2013Q2,ARROW FINANCIAL CORP,0.803709093703586
2013Q3,ARROW FINANCIAL CORP,0.6235358235070385
2013Q4,ARROW FINANCIAL CORP,0.7042628922681378
2014Q1,ARROW FINANCIAL CORP,0.5057514599181334
2014Q2,ARROW FINANCIAL CORP,0.7153296754643836
2014Q3,ARROW FINANCIAL CORP,0.6087184887224837
2014Q4,ARROW FINANCIAL CORP,0.7089250372364257
2015Q1,ARROW FINANCIAL CORP,0.7292008512705265
2015Q2,ARROW FINANCIAL CORP,0.618940995213665
2015Q3,ARROW FINANCIAL CORP,0.7437570799346918
2015Q4,ARROW FINANCIAL CORP,0.7575930767235338
2016Q1,ARROW FINANCIAL CORP,0.6698463543252231
2016Q2,ARROW FINANCIAL CORP,0.8346755067869818
2016Q3,ARROW FINANCIAL CORP,0.6783962644048513
2016Q4,ARROW FINANCIAL CORP,0.6783962644048513
1993Q2,ASSOCIATED BANC CORP,0.5600524246398377
1993Q3,ASSOCIATED BANC CORP,NA
1993Q4,ASSOCIATED BANC CORP,0.9436375569864314
1994Q1,ASSOCIATED BANC CORP,0.9356402444164051
1994Q2,ASSOCIATED BANC CORP,0.8534302359516018
1994Q3,ASSOCIATED BANC CORP,0.9347308370481173
1994Q4,ASSOCIATED BANC CORP,0.8973704181141751
1995Q1,ASSOCIATED BANC CORP,0.5959228994474934
1995Q2,ASSOCIATED BANC CORP,0.8540105247466803
1995Q3,ASSOCIATED BANC CORP,0.6333295135462464
1995Q4,ASSOCIATED BANC CORP,0.5369911822450639
1996Q1,ASSOCIATED BANC CORP,0.496083600041096
1996Q2,ASSOCIATED BANC CORP,0.3312417298666749
1996Q3,ASSOCIATED BANC CORP,0.433914144724431
1996Q4,ASSOCIATED BANC CORP,0.4006172683007828
1997Q1,ASSOCIATED BANC CORP,0.4669779336925758
