comnam,ncusip,cusip_8
WEBSTER FINANCIAL CORP,94789010,94789010
WELLS FARGO & CO NEW,94974610,94974610
WESBANCO INC,95081010,95081010
WESTAMERICA BANCORPORATION,95709010,95709010
WEST BANCORPORATION INC,95123P10,95123P10
WESTERN ALLIANCE BANCORPORATION,95763810,95763810
WESTERN NEW ENGLAND BANCORP INC,95889210,95889210
WESTFIELD FINANCIAL INC,96008D10,95889210
WESTFIELD FINANCIAL INC,96008P10,95889210
WESTFIELD FINANCIAL INC NEW,96008P10,95889210
WINTRUST FINANCIAL CORPORATION,97650W10,97650W10
WSFS FINANCIAL CORP,92932810,92932810
YADKIN FINANCIAL CORP,98430510,98430510
YADKIN VALLEY BANK & TRUST CO,98430810,98430510
YADKIN VALLEY FINANCIAL CORP,98431410,98430510
ZIONS BANCORPORATION,98970110,98970110
