Date,minimum,maximum,avg,med,std_dev,iqr,skew,kurt
2002Q4,0,0.9118176920336305,0.5356779377562839,0.5681568909628927,0.23797328721098335,0.2920065844826756,-0.6372882881099627,2.6629744343163213
2003Q1,0,0.9737747854499579,0.4516063706335558,0.47029892244808763,0.24891990249691415,0.3991771752491444,-0.25405556690632763,2.1346606014495983
2003Q2,0,0.9185876942141425,0.4366734754387045,0.4417510371103801,0.21304914531777866,0.31289029972062365,-0.20566621760857398,2.24445171403186
2003Q3,0,0.8992308964121858,0.4485710107119909,0.4907106082168735,0.194216646581707,0.27205366855633706,-0.5050332065448322,2.727556717384112
2003Q4,0,0.8788252167960332,0.5135040306023674,0.5692605817229935,0.21574948345637118,0.2993595548503014,-0.7588415205268647,2.8117512586147777
2004Q1,0,0.9425100857926682,0.4901953829630577,0.513761603153071,0.21105311025369022,0.2945354992624294,-0.4669912757018291,2.7542401803968883
2004Q2,0,0.8402516106407266,0.511343903665029,0.5497007535237597,0.1963220269183519,0.24550347857631194,-0.7735066908271301,3.252995700581415
2004Q3,0,0.8509673734256041,0.5004366423339175,0.5349002006790922,0.22094688377470187,0.3471095160498888,-0.4324125003434267,2.1879184631146833
2004Q4,0,0.8980241050044373,0.49289580258529203,0.5126589916412498,0.20920642076729146,0.3165838822330643,-0.4537672499360949,2.5487756583842542
2005Q1,0,0.8693367119502577,0.4682036929340353,0.5061681211686129,0.21111207273792928,0.2686969558029207,-0.47614607972504636,2.575105647484954
2005Q2,0,0.9270322395848956,0.5070620327022162,0.5305420184115163,0.21791884547013704,0.33041883130497807,-0.516072990240897,2.4870938692048954
2005Q3,0,0.8803413052541574,0.5174440807566282,0.5571415292799133,0.22441554504516892,0.3248277080749057,-0.5259671628634182,2.3949731439611575
2005Q4,0,0.9347052439129928,0.5353121933808309,0.5909454820094655,0.20911302696391365,0.2907258405916119,-0.5629113458147363,2.542914785731777
2006Q1,0,0.9556915185239906,0.48116735217872564,0.508688589233125,0.2159002987396125,0.30483947848712845,-0.3639546906498573,2.510783649007038
2006Q2,0,0.9578061752577467,0.5672506374940964,0.6137235182413328,0.2288325292309892,0.3522689855746566,-0.6567050393503117,2.6064651058178296
2006Q3,0,0.9131757861209685,0.5483752928831728,0.5930512737161949,0.24613640390699018,0.384260691924434,-0.5884611167555647,2.3219325036328704
