comnam,ncusip,cusip_8,siccd
MAINSOURCE FINANCIAL GROUP INC,56062Y10,56062Y10,6020
M B FINANCIAL INC,55263D10,55264U10,6030
M B FINANCIAL INC NEW,55264U10,55264U10,6035
M B T FINANCIAL CORP,57887710,57887710,6022
MERCANTILE BANK CORP,58737610,58737610,6020
MERCHANTS BANCSHARES INC,58844810,58844810,6710
MERCHANTS BANCSHARES INC,58844810,58844810,6020
MERIDIAN BANCORP INC,58958U10,58958U10,6036
MERIDIAN INTERSTATE BANCORP INC,58964Q10,58958U10,6036
META FINANCIAL GROUP INC,59100U10,59100U10,6020
METROPOLITAN BANK HOLDING CORP,59177410,59177410,6022
M F S FINANCIAL INC,55273L10,62845B10,6770
MIDDLEBURG FINANCIAL CORP,59609410,59609410,6021
MID PENN BANCORP INC,59540G10,59540G10,6035
MID PENN BANCORP INC,59540G10,59540G10,6022
MID PENN BANCORP INC,59540G10,59540G10,6712
MID PENN BANCORP INC,59540G10,59540G10,6021
MIDSOUTH BANCORP INC,59803910,59803910,6022
MIDSOUTH BANCORP INC,59803910,59803910,6712
MIDSOUTH BANCORP INC,59803910,59803910,6021
MIDWESTONE FINANCIAL GRP INC NEW,59851110,59851110,6022
M & T BANK CORP,55261F10,55261F10,6022
M & T BANK CORP,55261F10,55261F10,6021
MUTUALFIRST FINL INC,62845B10,62845B10,6035
NARA BANCORP INC,63080P10,43940T10,6021
NARA BANK NATIONAL ASSOC,63080110,43940T10,6090
NARA BANK NATIONAL ASSOC,63080110,43940T10,6020
N A S B FINANCIAL INC,62896810,62896810,6710
NATIONAL BANK HOLDINGS CORP,63370710,63370710,6029
NATIONAL BANKSHARES INC,63486510,63486510,6710
NATIONAL BANKSHARES INC,63486510,63486510,6021
NATIONSBANK CORP,63858510,06050510,6712
N B T BANCORP INC,62877810,62877810,6020
NEW YORK COMMUNITY BANCORP INC,64944510,64944510,6036
NEW YORK COMMUNITY BANCORP INC,64944510,64944510,6035
NICOLET BANKSHARES INC,65406E10,65406E10,6021
NORTH AMERICAN SAVINGS BANK FSB,65715610,62896810,6710
NORTHERN TRUST CORP,66585910,66585910,6710
NORTHERN TRUST CORP,66585910,66585910,6020
NORTHFIELD BANCORP INC,66611L10,66611T10,6712
NORTHFIELD BANCORP INC DE,66611T10,66611T10,6712
NORTHRIM BANCORP INC,66676210,66676210,6020
NORTHRIM BANK,66676410,66676210,6020
NORTHWEST BANCORP INC PA,66732810,66734010,6710
NORTHWEST BANCORP INC PA,66732810,66734010,6030
NORTHWEST BANCSHARES INC,66734010,66734010,6036
NORTHWEST SAVINGS BANK WARREN PA,66779410,66734010,6030
NORWEST CORP,66938010,94974610,6711
NORWOOD FINANCIAL CORP,66954910,66954910,6020
OCEAN FINANCIAL CORP,67490410,67523410,6030
OCEANFIRST FINANCIAL CORP,67523410,67523410,6030
